value_name,description
Fairness,"Treating people and being treated equally"
Effectiveness,"Executing with precision to achieve results"
Honesty,"Being truthful and sincere"
Knowledge,"Subject matter expertise gained through experience or study"
Creativity,"Thinking outside the box and trying new ways to accomplish goals"
Legacy,"Making a difference today with tomorrow in mind, building for succession"
Courage,"Willingness to take calculated risks and step outside comfort zones"
Fun,"Playfulness, ability to laugh and express humor appropriately"
Customer_Focus,"Achieving excellence in customer satisfaction and service"
Wisdom,"Having deep understanding, insight, and knowledge to make good judgements"
Family,"Prioritizing quality and quantity time with family"
Accountability,"Taking responsibility for both actions and outcomes"
Status,"Holding a position of importance, high standing, or prestige"
Urgency,"Fast-paced, swift, action-oriented approach"
Diversity,"Respecting a variety of cultures and lifestyles"
Structure,"Valuing formality, process, and systematic approaches"
Wealth,"An abundance of valuable material possessions and financial security"
Loyalty,"Faithful to a person, ideal, custom, cause, or duty"
Faith,"Belief in a higher power or spiritual principles"
Quality,"Maintaining a standard of excellence"
Achievement,"Aspiring to the highest levels of excellence"
Recognition,"Giving and receiving acknowledgement for achievements"
Simplicity,"Lack of complexity or complication, keeping things straightforward"
Fitness,"Being physically fit and maintaining optimal well-being"
Commitment,"Being bound emotionally or intellectually to a course of action"
Change,"Looking forward to and valuing change, continuous improvement"
Service,"Serving the community and non-profit organizations"
Passion,"Intense emotional excitement and boundless enthusiasm"
Independence,"Free from the influence, guidance or control of others"
Efficiency,"Producing results in a timely manner with minimal waste or effort"
Growth,"Investing in lifelong learning, personal development, and self-education"
Integrity,"Words and deeds match up, being consistent regardless of context"
Authority,"Possessing power over decisions, people, and assets"
Competence,"Possessing the skill, knowledge, and ability to effectively perform"
Perfection,"Reaching the highest attainable standard, attention to details"
Teamwork,"Cooperative effort by a group or team"
Trust,"Firm reliance on the integrity, ability or character of a person or thing"
Balance,"Balancing time and effort between work, home, and hobbies"
Empathy,"Understanding and sharing the feelings of others, showing compassion"
Resilience,"Ability to bounce back from setbacks and adapt to challenges"
